station_name,collectioncode,seriescode,ocean,station_type,latitude,longitude,depth,stationstatus,stationclass,first_year,last_year,locality,rcvr_serial,map_code
FAD ZZ,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,19.9483,-155.965,2000,active,deployed,2023-09-25,,,,
FAIRWIND MOORING,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.48203,-155.93244,unknown,active,deployed,2005-12-10,2010-12-19,,,
FFS BIG GIN BAY,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.73355,-166.16612,unknown,active,deployed,2009-07-02,2012-07-08,,,
FFS BIG GIN POINT,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.73542,-166.16696,unknown,active,deployed,2009-07-02,2016-08-31,,,
FFS EAST ISLAND,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.78686,-166.20709,unknown,active,deployed,2005-05-17,2019-07-18,,,
FFS EAST TERN,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.87135,-166.28203,unknown,active,deployed,2009-07-21,2012-07-10,,,
FFS GINS DEEP,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.72615,-166.18963,unknown,active,deployed,2008-06-07,2017-09-10,,,
FFS LA PEROUSE,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.76945,-166.20621,unknown,active,deployed,2005-05-17,2009-06-12,,,
FFS NE OF LA PEROUSE,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.80545,-166.26106,unknown,active,deployed,2009-07-01,2017-09-09,,,
FFS NORTH OF TRIG,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.88609,-166.22641,unknown,active,deployed,2009-07-03,2013-05-27,,,
FFS NORTHERN BARRIER REEF,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.88183,-166.29223,unknown,active,deployed,2008-08-03,2011-09-19,,,
FFS Rapture Meso,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.63033,-166.18883,unknown,active,deployed,2014-09-11,2016-06-12,,,
FFS Rapture Reef,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.63509,-166.1857,unknown,active,deployed,2005-05-17,2019-08-29,,,
FFS Round & Mullet,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.82747,-166.22857,unknown,active,deployed,2008-06-08,2019-07-18,,,
FFS SE MESO,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.61811,-166.13981,unknown,active,deployed,2015-09-07,2016-06-12,,,
FFS SE OF LA PEROUSE,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.74926,-166.21773,unknown,active,deployed,2009-07-01,2019-07-18,,,
FFS SOUTH OF DISAPPEARING ISLAND,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.62931,-166.19521,unknown,active,deployed,2018-07-05,2019-07-19,,,
FFS SW Meso,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.63191,-166.20595,unknown,active,deployed,2014-09-11,,,,
FFS SW SHALLOW,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.63764,-166.2076,unknown,active,deployed,2014-09-11,2017-09-10,,,
FFS TERN ISLAND,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.86664,-166.2882,unknown,active,deployed,2005-05-18,2017-09-09,,,
FFS TRIG ISLAND,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.86945,-166.24158,unknown,active,deployed,2005-05-19,2019-07-20,,,
FFS TRIG SHALLOW 1,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.87206,-166.24529,unknown,active,deployed,2009-07-31,2012-07-10,,,
FFS TRIG SHALLOW 10,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.87135,-166.24435,unknown,active,deployed,2009-05-21,2012-07-10,,,
FFS TRIG SHALLOW 2,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.87237,-166.24432,unknown,active,deployed,2009-05-21,2012-07-10,,,
FFS TRIG SHALLOW 3,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.8722,-166.24353,unknown,active,deployed,2009-05-21,2012-07-10,,,
FFS TRIG SHALLOW 4,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.87205,-166.24297,unknown,active,deployed,2009-05-21,2012-07-10,,,
FFS TRIG SHALLOW 5,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.872,-166.24205,unknown,active,deployed,2009-05-21,2012-09-01,,,
FFS TRIG SHALLOW 6,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.87194,-166.24138,unknown,active,deployed,2009-07-06,2012-09-01,,,
FFS TRIG SHALLOW 7,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.87127,-166.24102,unknown,active,deployed,2009-05-21,2012-09-01,,,
FFS TRIG SHALLOW 8,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.87117,-166.2422,unknown,active,deployed,2009-05-24,2012-09-01,,,
FFS TRIG SHALLOW 9,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.87124,-166.24323,unknown,active,deployed,2009-07-06,2012-07-10,,,
FFS-FFS SE MESO,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,23.61809,-166.13956,unknown,active,deployed,2014-09-11,,,,
FISH POINT,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.47818,-155.93432,unknown,active,deployed,2005-12-10,2012-03-21,,,
FRANK PARRISH MAUI DAN,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,20.80937,-156.68153,unknown,active,deployed,2009-07-29,2010-07-08,,,
FRANK PARRISH MAUI EMILY,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,20.79847,-156.68635,unknown,active,deployed,2009-07-30,2010-07-08,,,
FRANK PARRISH MAUI RAY,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,20.80608,-156.6497,unknown,active,deployed,2009-07-30,2010-07-08,,,
FRANK PARRISH MAUI SHALLOW,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,20.80713,-156.68453,unknown,active,deployed,2008-08-06,2009-07-25,,,
GARDEN EELS,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,19.737,-156.05452,unknown,active,deployed,2002-11-24,2009-09-10,,,
GARDNER WEST COVE,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,24.99834,-167.99982,unknown,active,deployed,2006-09-06,2007-07-11,,,
HALEIWA TRENCH,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.59482,-158.11079,unknown,active,deployed,2007-05-09,2008-09-12,,,
HAWAII KAI,PIRAT.HCTP,PIRAT,MID PACIFIC,Acoustic,21.2383,-157.7175,30.0,active,deployed,2021-09-25,2022-05-21,,,
HAWAII SHARK ENCOUNTERS BUOY,PIRAT.PFRL,PIRAT,MID PACIFIC,Transceiver,21.64112,-158.13047,unknown,active,deployed,2007-10-19,2024-04-16,,,
HILOBAY,PIRAT.LHWI,PIRAT,MID PACIFIC,Transceiver,19.74406,-155.07884,17.3736,active,deployed,2021-03-27,2025-03-01,,,
HIMB DOLPHIN WALL,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.43318,-157.79146,unknown,active,deployed,2011-12-14,2014-04-16,,,
HIMB EAST WALL,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.4357,-157.78654,unknown,active,deployed,2012-02-01,2012-11-02,,,
HIMB LIGHTHOUSE CHANNEL,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.43229,-157.79027,unknown,active,deployed,2011-12-14,2014-04-16,,,
HIMB NORTH COVE,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.43773,-157.78981,unknown,active,deployed,2012-10-24,2014-04-16,,,
HIMB NW WALL,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.43675,-157.79121,unknown,active,deployed,2011-12-14,2012-10-24,,,
HIMB POACHERS COVE,PIRAT.PFRL,PIRAT,MID PACIFIC,Acoustic,21.43419,-157.79082,unknown,active,deployed,2011-12-14,2014-04-16,,,
